"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.284" -16.40885004 -71.49124906 "4" "11"
"1.13.100.400" -16.40644296 -71.49098922 "4" "16"
"1.13.100.381" -16.40769953 -71.49183219 "4" "14"
"1.13.100.382" -16.40800973 -71.49175768 "4" "14"
"1.13.100.299A" -16.40915466 -71.49118898 "4" "11"
"1.13.100.380" -16.40744162 -71.49185117 "4" "14"
"1.13.100.339A" -16.40855724 -71.4915203 "4" "12"
"1.13.100.340A" -16.40851795 -71.49156994 "4" "12"
"1.13.100.300" -16.40921091 -71.49124414 "4" "11"
"1.13.100.340" -16.40858059 -71.49157784 "4" "12"
"1.13.100.412" -16.40663835 -71.49218415 "4" "16"
"1.13.100.321" -16.40825038 -71.49183848 "3" "12"
"1.13.100.401" -16.40645124 -71.49109271 "3" "16"
"1.13.100.341" -16.40863208 -71.49166421 "3" "12"
"1.13.100.282" -16.40884234 -71.49148854 "3" "11"
"1.13.100.301" -16.40924724 -71.49137648 "3" "11"
"1.13.100.383" -16.40805789 -71.49194564 "3" "14"
"1.13.100.437" -16.40619849 -71.49131839 "3" "16"
"1.13.100.320" -16.40829086 -71.49198649 "3" "12"
"1.13.100.402" -16.40647587 -71.49118358 "3" "16"
"1.13.100.391" -16.40744108 -71.49084448 "3" "15"
"1.13.100.378" -16.40743354 -71.49206082 "3" "14"
"1.13.100.392" -16.40759003 -71.49082547 "3" "15"
"1.13.100.466" -16.40580535 -71.49271464 "3" "17"
"1.13.100.303" -16.40926575 -71.49155547 "3" "11"
"1.13.100.384" -16.40805497 -71.49208767 "3" "14"
"1.13.100.377" -16.40741069 -71.4921355 "3" "14"
"1.13.100.319" -16.40830007 -71.49214396 "3" "12"
"1.13.100.425" -16.40650105 -71.49247992 "3" "16"
"1.13.100.465" -16.40581558 -71.49278831 "3" "17"
"1.13.100.280" -16.40891707 -71.49177409 "3" "11"
"1.13.100.424" -16.40650607 -71.49252794 "3" "16"
"1.13.100.414" -16.40669007 -71.4924446 "3" "16"
"1.13.100.446" -16.40626273 -71.49246058 "3" "17"
"1.13.100.464" -16.40581828 -71.49286713 "3" "17"
"1.13.100.404" -16.40650048 -71.49138019 "3" "16"
"1.13.100.304" -16.40927722 -71.4917456 "3" "11"
"1.13.100.344" -16.4087149 -71.4920611 "3" "12"
"1.13.100.318" -16.40829873 -71.49229282 "3" "12"
"1.13.100.374" -16.40763656 -71.49227117 "3" "14"
"1.13.100.447" -16.40628121 -71.49250872 "3" "17"
"1.13.100.434" -16.40628207 -71.49154269 "3" "16"
"1.13.100.279" -16.40892049 -71.49193905 "3" "11"
"1.13.100.305" -16.40928057 -71.49184109 "3" "11"
"1.13.100.415" -16.40672237 -71.49254793 "3" "16"
"1.13.100.317" -16.40833418 -71.49236752 "3" "12"
"1.13.100.345" -16.40869374 -71.49220004 "3" "12"
"1.13.100.405" -16.40650514 -71.49147976 "3" "16"
"1.13.100.423" -16.40654035 -71.49265667 "3" "16"
"1.13.100.389" -16.40751155 -71.49130223 "3" "15"
"1.13.100.448" -16.40628946 -71.49258628 "3" "17"
"1.13.100.346A" -16.40862522 -71.49228451 "3" "12"
"1.13.100.346" -16.40869114 -71.49226072 "3" "12"
"1.13.100.278" -16.40893089 -71.49208724 "3" "11"
"1.13.100.306" -16.40932026 -71.49195944 "3" "11"
"1.13.100.316" -16.40834765 -71.49244585 "3" "12"
"1.13.100.347" -16.40860296 -71.49235132 "3" "12"
"1.13.100.422" -16.40658316 -71.49273215 "3" "16"
"1.13.100.462" -16.4058468 -71.49309412 "3" "17"
"1.13.100.416" -16.40672497 -71.49268028 "3" "16"
"1.13.100.406" -16.40653884 -71.49157757 "3" "16"
"1.13.100.449" -16.40630031 -71.49268458 "3" "17"
"1.13.100.315" -16.40835273 -71.49255428 "3" "12"
"1.13.100.277" -16.40895816 -71.49221886 "3" "11"
"1.13.100.398" -16.40793377 -71.49135423 "3" "15"
"1.13.100.331" -16.40833606 -71.49071705 "3" "12"
"1.13.100.461" -16.40586207 -71.49319503 "3" "17"
"1.13.100.332" -16.40849797 -71.49068278 "3" "12"
"1.13.100.450" -16.40632918 -71.49277671 "3" "17"
"1.13.100.307" -16.40937369 -71.4921696 "3" "11"
"1.13.100.348" -16.40876839 -71.49245191 "3" "12"
"1.13.100.276" -16.40898994 -71.49231461 "3" "11"
"1.13.100.417" -16.4067396 -71.49283243 "3" "16"
"1.13.100.290" -16.40872467 -71.49065773 "3" "11"
"1.13.100.460" -16.40591894 -71.49326345 "3" "17"
"1.13.100.307A" -16.40934838 -71.49224931 "3" "11"
"1.13.100.451" -16.40634207 -71.49287057 "3" "17"
"1.13.100.333" -16.40854557 -71.49084625 "3" "12"
"1.13.100.327" -16.4081226 -71.49108027 "3" "12"
"1.13.100.289" -16.40873142 -71.49082247 "3" "11"
"1.13.100.459" -16.4060352 -71.4932333 "3" "17"
"1.13.100.296" -16.40915337 -71.49073526 "3" "11"
"1.13.100.420" -16.40661471 -71.49301144 "3" "16"
"1.13.100.326" -16.40815653 -71.49117407 "3" "12"
"1.13.100.334" -16.40853233 -71.49098722 "3" "12"
"1.13.100.409" -16.40658074 -71.49187147 "3" "16"
"1.13.100.452" -16.40637793 -71.49294405 "3" "17"
"1.13.100.288" -16.40876148 -71.49088442 "3" "11"
"1.13.100.458" -16.40611175 -71.49322608 "3" "17"
"1.13.100.368" -16.40811313 -71.4924312 "3" "13"
"1.13.100.430" -16.4063827 -71.49202315 "3" "16"
"1.13.100.418" -16.40676288 -71.4930376 "3" "16"
"1.13.100.297" -16.40916598 -71.49088333 "3" "11"
"1.13.100.367" -16.40801315 -71.49245025 "3" "13"
"1.13.100.419" -16.40665063 -71.49310638 "3" "16"
"1.13.100.457" -16.40620829 -71.49319479 "3" "17"
"1.13.100.366" -16.40794379 -71.49247225 "3" "13"
"1.13.100.365" -16.40783639 -71.49247823 "3" "13"
"1.13.100.312" -16.40857174 -71.49278786 "3" "12"
"1.13.100.310A" -16.40874938 -71.49273804 "3" "12"
"1.13.100.453" -16.4064144 -71.4930456 "3" "17"
"1.13.100.456" -16.4062819 -71.49316971 "3" "17"
"1.13.100.363" -16.40763192 -71.49250239 "3" "13"
"1.13.100.336" -16.40856123 -71.49124318 "3" "12"
"1.13.100.298" -16.40916199 -71.49100477 "3" "11"
"1.13.100.310" -16.40878545 -71.49275665 "3" "12"
"1.13.100.455" -16.40635536 -71.49316054 "3" "17"
"1.13.100.470" -16.40581598 -71.49235572 "3" "17"
"1.13.100.285" -16.40880678 -71.49117662 "3" "11"
"1.13.100.361" -16.40744788 -71.49257175 "3" "13"
"1.13.100.323" -16.40821526 -71.49160527 "3" "12"
"1.13.100.271A" -16.40925173 -71.49265144 "3" "11"
