"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.107" -16.40856276 -71.49570226 "1" "3"
"1.13.100.149" -16.40898995 -71.49610625 "1" "4"
"1.13.100.146" -16.40927732 -71.49608551 "1" "4"
"1.13.100.148" -16.40905661 -71.49608902 "0" "4"
"1.13.100.106" -16.40855985 -71.49563818 "0" "3"
"1.13.100.97" -16.40849058 -71.49491491 "0" "3"
"1.13.100.105" -16.40853335 -71.49555304 "0" "3"
"1.13.100.98" -16.40850621 -71.49499143 "0" "3"
"1.13.100.127" -16.40865 -71.4946563 "0" "4"
"1.13.100.145" -16.4092458 -71.4959401 "0" "4"
"1.13.100.102" -16.40851928 -71.4952726 "0" "3"
"1.13.100.103" -16.40853795 -71.49534654 "0" "3"
"1.13.100.135" -16.40909946 -71.49475231 "0" "4"
"1.13.100.144" -16.40925699 -71.49578914 "0" "4"
"1.13.100.136" -16.40912755 -71.49486125 "0" "4"
"1.13.100.39" -16.40756868 -71.49597599 "0" "2"
"1.13.100.143" -16.40923967 -71.49568436 "0" "4"
"1.13.100.126" -16.40869512 -71.49488276 "0" "4"
"1.13.100.137" -16.40914056 -71.49500314 "0" "4"
"1.13.100.142" -16.4092288 -71.4955462 "0" "4"
"1.13.100.40" -16.40753191 -71.49582458 "0" "2"
"1.13.100.120A" -16.40882201 -71.49562865 "0" "4"
"1.13.100.138" -16.40915746 -71.49509247 "0" "4"
"1.13.100.141" -16.40921713 -71.49537862 "0" "4"
"1.13.100.139" -16.40916613 -71.49516424 "0" "4"
"1.13.100.125" -16.40871307 -71.49504394 "0" "4"
"1.13.100.47" -16.40739246 -71.49517612 "0" "2"
"1.13.100.48" -16.40738722 -71.49510201 "0" "2"
"1.13.100.124A" -16.4087236 -71.49513224 "0" "4"
"1.13.100.49" -16.40739091 -71.49503028 "0" "2"
"1.13.100.124" -16.4087327 -71.49519645 "0" "4"
"1.13.100.50" -16.40739692 -71.49496033 "0" "2"
"1.13.100.163" -16.40960557 -71.49381379 "0" "5"
"1.13.100.164" -16.40964971 -71.49392156 "0" "5"
"1.13.100.165" -16.40965536 -71.4940015 "0" "5"
"1.13.100.175" -16.40821521 -71.49415563 "0" "6"
"1.13.100.166" -16.40968155 -71.49411202 "0" "5"
"1.13.100.167" -16.40951584 -71.49414744 "0" "5"
"1.13.100.168" -16.40942693 -71.49412748 "0" "5"
"1.13.100.169" -16.40937236 -71.49412656 "0" "5"
"1.13.100.171" -16.40915633 -71.49412078 "0" "5"
"1.13.100.170" -16.40928337 -71.49414546 "0" "5"
"1.13.100.58" -16.40779727 -71.49502282 "0" "2"
"1.13.100.113" -16.40840952 -71.49623594 "0" "3"
"1.13.100.80" -16.40821353 -71.49594367 "0" "3"
"1.13.100.85" -16.40808293 -71.49529082 "0" "3"
"1.13.100.111" -16.40866514 -71.49616598 "0" "3"
"1.13.100.94" -16.40843903 -71.49459152 "0" "3"
"1.13.100.110" -16.40862637 -71.49599041 "0" "3"
"1.13.100.109" -16.40863038 -71.4958849 "0" "3"
"1.13.100.129" -16.40880589 -71.49445 "0" "4"
"1.13.100.115" -16.40887096 -71.49613954 "0" "4"
"1.13.100.147" -16.40915238 -71.4960828 "0" "4"
"1.13.100.134" -16.40908512 -71.49458665 "0" "4"
"1.13.100.116" -16.40886009 -71.49602448 "0" "4"
"1.13.100.101" -16.40850667 -71.49520301 "0" "3"
"1.13.100.117" -16.40884604 -71.49593609 "0" "4"
"1.13.100.104" -16.40856395 -71.49544689 "0" "3"
"1.13.100.118" -16.40883074 -71.49587719 "0" "4"
"1.13.100.119" -16.40880899 -71.49573476 "0" "4"
"1.13.100.120" -16.40880413 -71.49566117 "0" "4"
"1.13.100.121" -16.40877687 -71.49558788 "0" "4"
"1.13.100.140" -16.40917764 -71.49528476 "0" "4"
"1.13.100.122" -16.40874838 -71.49547658 "0" "4"
"1.13.100.123" -16.40876107 -71.49533332 "0" "4"
"1.13.100.200" -16.40639633 -71.49426186 "0" "8"
"1.13.100.213" -16.40654748 -71.4938098 "0" "8"
"1.13.100.216" -16.40660018 -71.49409766 "0" "8"
"1.13.100.222" -16.40680433 -71.49384962 "0" "9"
"1.13.100.229" -16.4070122 -71.49329625 "0" "9"
"1.13.100.233" -16.40739168 -71.49322712 "0" "9"
"1.13.100.373" -16.40778798 -71.49223863 "0" "14"
"1.13.100.427" -16.40647042 -71.49229144 "0" "16"
"1.13.100.71" -16.40803627 -71.49626203 "0" "2"
"1.13.100.10" -16.40681104 -71.49553296 "0" "1"
"1.13.100.11" -16.40679439 -71.49543204 "0" "1"
"1.13.100.15" -16.40670439 -71.49496014 "0" "1"
"1.13.100.19" -16.40704512 -71.49473748 "0" "1"
"1.13.100.22" -16.40717751 -71.49491206 "0" "1"
"1.13.100.20" -16.40714883 -71.4947502 "0" "1"
"1.13.100.75" -16.40776414 -71.49631353 "0" "2"
"1.13.100.76" -16.40769659 -71.49629522 "0" "2"
"1.13.100.100" -16.40849741 -71.49511054 "0" "3"
"1.13.100.100A" -16.40843967 -71.49511862 "0" "3"
"1.13.100.108" -16.40859971 -71.49577477 "0" "3"
"1.13.100.99" -16.40852286 -71.49505194 "0" "3"
"1.13.100.217" -16.4066272 -71.49420193 "0" "8"
"1.13.100.221" -16.40664009 -71.49446241 "0" "8"
"1.13.100.214" -16.4065641 -71.49391891 "0" "8"
"1.13.100.228" -16.40687783 -71.49327799 "0" "9"
"1.13.100.234" -16.4075262 -71.49318758 "0" "9"
"1.13.100.205" -16.40595655 -71.49347302 "0" "8"
"1.13.100.230" -16.4071001 -71.49326545 "0" "9"
"1.13.100.231" -16.40719157 -71.49326023 "0" "9"
"1.13.100.199A" -16.40645825 -71.49429609 "0" "8"
"1.13.100.218" -16.40663132 -71.49428308 "0" "8"
"1.13.100.274" -16.40904518 -71.4925766 "0" "11"
"1.13.100.310B" -16.40870564 -71.4927678 "0" "12"
"1.13.100.202A" -16.40620221 -71.4939326 "0" "8"
"1.13.100.275" -16.40900776 -71.49246803 "0" "11"
"1.13.100.311" -16.40866109 -71.49277163 "0" "12"
"1.13.100.314" -16.40837478 -71.49270908 "0" "12"
"1.13.100.349" -16.4087844 -71.49261076 "0" "12"
"1.13.100.351" -16.40802133 -71.4928888 "0" "13"
"1.13.100.362" -16.40757172 -71.49251131 "0" "13"
"1.13.100.388" -16.40753707 -71.49143517 "0" "15"
"1.13.100.426" -16.40649538 -71.49240501 "0" "16"
"1.13.100.428" -16.40641885 -71.49224158 "0" "16"
"1.13.100.226" -16.40675372 -71.4934422 "0" "9"
"1.13.100.379" -16.40742201 -71.49196533 "0" "14"
"1.13.100.467" -16.40572206 -71.49265621 "0" "17"
"1.13.100.487" -16.40550476 -71.49222406 "0" "18"
"1.13.100.488" -16.40550148 -71.4921149 "0" "18"
"1.13.100.490" -16.40562593 -71.49201953 "0" "18"
"1.13.100.463" -16.40585455 -71.49296174 "0" "17"
"1.13.100.444" -16.40619062 -71.49224955 "0" "17"
"1.13.100.421" -16.40658731 -71.49287903 "0" "16"
"1.13.100.227" -16.40671882 -71.49334092 "0" "9"
"1.13.100.474" -16.4060334 -71.49206925 "0" "17"
